Variable,Importance
TERRAINS DE GRANDS JEUX,0.6391079
Densité_pop,0.087015904
lng,0.062447283
Distance_centre_Paris,0.04302022
lat,0.023113465
ATHLÉTISME,0.021937577
GRANDE SURFACE DE BRICOLAGE,0.011617002
TERRAIN DE GOLF,0.010714979
Numjoursem_comptage,0.00887513
RELAIS POSTE,0.0074003455
