,An_comptage,Nummois_comptage,Semaine_comptage,Comptage_horaire,Ferie,Vacances,Restrictions_covid,Temperature_min,Temperature_max,Temperature_moy,Precipitations,Ensoleillement,An_semaine,lat,lng,Distance_métro,Distance_centre_Paris,Densité_pop,ADULTES HANDICAPÉS : ACCUEIL/HÉBERGEMENT,ADULTES HANDICAPÉS : SERVICES DE SOINS À DOMICILE,AGENCE DE TRAVAIL TEMPORAIRE,AMBULANCE,ATHLÉTISME,BOULODROME,BOWLING,CAMPING,CENTRE ACCUEIL DEMANDEUR D’ASILE,CENTRE DE SANTÉ,CENTRE DISPENSANT DES FORMATIONS D’APPRENTISSAGE AGRICOLE,CENTRE LUTTE CANCER,CENTRE MÉDECINE PRÉVENTIVE,CENTRE PROVISOIRE D’HÉBERGEMENT,CENTRE ÉQUESTRE,CHRS : CENTRE D’HÉBERGEMENT ET DE RÉINSERTION SOCIALE,CONSEIL DE PRUD’HOMMES (CPH),CONSERVATOIRE,CONTRÔLE TECHNIQUE AUTOMOBILE,COUR D’APPEL (CA),DIALYSE,DRFIP ET DDFIP,ENFANTS HANDICAPÉS : HÉBERGEMENT,ENFANTS HANDICAPÉS : SERVICES À DOMICILE OU AMBULATOIRES,ERGOTHÉRAPEUTE,GARES,GRANDE SURFACE DE BRICOLAGE,HOSPITALISATION À DOMICILE,HYPERMARCHÉ,LYCÉE D’ENSEIGNEMENT TECHNIQUE ET/OU PROFESSIONNEL AGRICOLE,MAGASIN DE REVÊTEMENTS MURS ET SOLS,MAISON DE JUSTICE ET DU DROIT,MAISON DE SANTÉ PLURIDISCIPLINAIRE,MATERNITÉ,ORTHOPTISTE,PARCOURS SPORTIF/SANTÉ,PERSONNES ÂGÉES : SOINS À DOMICILE,PLATEAUX ET TERRAINS DE JEUX EXTÉRIEURS,POISSONNERIE,PRODUITS SURGELÉS,PROTECTION DE L’ENFANCE - ACTION ÉDUCATIVE,PROTECTION DE L’ENFANCE - HÉBERGEMENT,PSYCHOMOTRICIEN,RELAIS POSTE,ROLLER-SKATE-VÉLO BICROSS OU FREESTYLE,SALLES DE COMBAT,SALLES NON SPÉCIALISÉES,SALLES SPÉCIALISÉES,SERVICES FUNÉRAIRES,SPORTS DE GLACE,SPORTS NAUTIQUES,SPÉCIALISTE EN CARDIOLOGIE,SPÉCIALISTE EN GASTRO-ENTÉROLOGIE HÉPATOLOGIE,SPÉCIALISTE EN PNEUMOLOGIE,SPÉCIALISTE EN STOMATOLOGIE,STATION-SERVICE,STRUCTURE PSYCHIATRIQUE EN AMBULATOIRE,TENNIS,TERRAIN DE GOLF,TERRAINS DE GRANDS JEUX,TRANSFUSION SANGUINE,TRAVAIL PROTÉGÉ,TRIBUNAL DE COMMERCE (TCO),URGENCES,ÉCOLE D’ENSEIGNEMENT SUPÉRIEUR AGRICOLE,ÉQUIPEMENT DE CYCLISME,ÉTABLISSEMENT PSYCHIATRIQUE,ÉTABLISSEMENT SANTÉ COURT SÉJOUR,ÉTABLISSEMENT SANTÉ LONG SÉJOUR,ÉTABLISSEMENT SANTÉ MOYEN SÉJOUR
6106,2021,5,17,115.0,0.48936170212765956,0.0,1.0,7.023404255319149,13.227659574468086,10.0,0.4936170212765958,4.48936170212766,202117,48.86377,2.35096,0.151,1.017,21928.98943803198,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,1,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1934,2021,5,17,53.297872340425535,0.48936170212765956,0.0,1.0,7.023404255319149,13.227659574468086,10.0,0.4936170212765958,4.48936170212766,202117,48.84201,2.36729,0.214,2.458,25349.715195123972,1,1,1,1,1,1,0,0,0,1,0,0,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1
5998,2021,5,17,57.06382978723404,0.48936170212765956,0.0,1.0,7.023404255319149,13.227659574468086,10.0,0.4936170212765958,4.48936170212766,202117,48.85013,2.35423,0.449,1.142,23193.50578293448,1,1,1,1,0,1,1,0,0,1,1,1,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,1,0,1,1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,1,0,0,1,0,1,1,1,0
2006,2021,5,17,44.4468085106383,0.48936170212765956,0.0,1.0,7.023404255319149,13.227659574468086,10.0,0.4936170212765958,4.48936170212766,202117,48.84201,2.36729,0.214,2.458,25349.715195123972,1,1,1,1,1,1,0,0,0,1,0,0,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1
2078,2021,5,17,22.21276595744681,0.48936170212765956,0.0,1.0,7.023404255319149,13.227659574468086,10.0,0.4936170212765958,4.48936170212766,202117,48.85372,2.35702,0.023,1.134,18362.02913580504,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0
5926,2021,5,17,81.80851063829788,0.48936170212765956,0.0,1.0,7.023404255319149,13.227659574468086,10.0,0.4936170212765958,4.48936170212766,202117,48.85013,2.35423,0.449,1.142,23193.50578293448,1,1,1,1,0,1,1,0,0,1,1,1,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,1,0,1,1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,1,0,0,1,0,1,1,1,0
2150,2021,5,17,15.25531914893617,0.48936170212765956,0.0,1.0,7.023404255319149,13.227659574468086,10.0,0.4936170212765958,4.48936170212766,202117,48.85372,2.35702,0.023,1.134,18362.02913580504,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0
5854,2021,5,17,52.08510638297872,0.48936170212765956,0.0,1.0,7.023404255319149,13.227659574468086,10.0,0.4936170212765958,4.48936170212766,202117,48.86502,2.35387,0.2,1.262,29299.259647608556,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
936,2021,5,17,25.97872340425532,0.48936170212765956,0.0,1.0,7.023404255319149,13.227659574468086,10.0,0.4936170212765958,4.48936170212766,202117,48.830331,2.400551,0.269,5.187,8595.701402705823,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1
2222,2021,5,17,74.08510638297872,0.48936170212765956,0.0,1.0,7.023404255319149,13.227659574468086,10.0,0.4936170212765958,4.48936170212766,202117,48.85735,2.35211,0.094,0.73,18362.02913580504,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0
2294,2021,5,17,115.48936170212765,0.48936170212765956,0.0,1.0,7.023404255319149,13.227659574468086,10.0,0.4936170212765958,4.48936170212766,202117,48.85735,2.35211,0.094,0.73,18362.02913580504,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0
5782,2021,5,17,49.191489361702125,0.48936170212765956,0.0,1.0,7.023404255319149,13.227659574468086,10.0,0.4936170212765958,4.48936170212766,202117,48.86502,2.35387,0.2,1.262,29299.259647608556,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
141,2021,5,17,32.42553191489362,0.48936170212765956,0.0,1.0,7.023404255319149,13.227659574468086,10.0,0.4936170212765958,4.48936170212766,202117,48.82636,2.30303,0.297,4.431,24322.526118098907,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,1,1,1,1,0,1,1,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1
2366,2021,5,17,62.42553191489362,0.48936170212765956,0.0,1.0,7.023404255319149,13.227659574468086,10.0,0.4936170212765958,4.48936170212766,202117,48.8484,2.27586,0.279,4.956,10247.461797828637,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,0,1,0,0,1,1,0,0,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1
5358,2021,5,17,33.48936170212766,0.48936170212765956,0.0,1.0,7.023404255319149,13.227659574468086,10.0,0.4936170212765958,4.48936170212766,202117,48.85209,2.28508,0.516,4.224,27388.836034635202,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1
1008,2021,5,17,16.4468085106383,0.48936170212765956,0.0,1.0,7.023404255319149,13.227659574468086,10.0,0.4936170212765958,4.48936170212766,202117,48.830331,2.400551,0.269,5.187,8595.701402705823,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1
3158,2021,5,17,20.680851063829788,0.48936170212765956,0.0,1.0,7.023404255319149,13.227659574468086,10.0,0.4936170212765958,4.48936170212766,202117,48.88181,2.281546,0.555,5.257,29631.31131593703,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,1,1,0,1
698,2021,5,17,1.6170212765957446,0.48936170212765956,0.0,1.0,7.023404255319149,13.227659574468086,10.0,0.4936170212765958,4.48936170212766,202117,48.84604,2.37561,0.336,2.72,8595.701402705823,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1
