Variable,Importance
TERRAINS DE GRANDS JEUX,0.35252133
PROTECTION DE L’ENFANCE - HÉBERGEMENT,0.09883835
ATHLÉTISME,0.079978034
Densité_pop,0.077390485
lng,0.06262177
Distance_centre_Paris,0.041462228
MAGASIN DE REVÊTEMENTS MURS ET SOLS,0.028356463
Heure_comptage,0.026933413
lat,0.025453618
RELAIS POSTE,0.020575553
