Variable,Importance
Heure_comptage,0.31592865462868575
Densité_pop,0.09904685689075116
TERRAINS DE GRANDS JEUX,0.09180173997406586
lng,0.08801279365616149
lat,0.07108512086490473
Distance_centre_Paris,0.06862340551024321
Numjoursem_comptage,0.04908026757461991
Semaine_comptage,0.030258088314078616
Ensoleillement,0.028448005749389087
Temperature_max,0.027492710794171312
