An_semaine,lat,lng,An_comptage,Semaine_comptage,y_train,pred_train,y_test,pred_test,Semaine
202117,48.83511,2.33338,2021,17,18.53191489361702,50.87963213036128,,,2021 S17
202117,48.86485,2.40966,2021,17,12.638297872340425,30.1182635162832,,,2021 S17
202117,48.87773,2.3506,2021,17,44.91489361702128,85.84085763617588,,,2021 S17
202117,48.86485,2.40966,2021,17,25.851063829787233,30.1182635162832,,,2021 S17
202117,48.84604,2.37561,2021,17,33.12765957446808,48.736635999771124,,,2021 S17
202117,48.86462,2.31444,2021,17,29.4468085106383,72.03820736804236,,,2021 S17
202117,48.86451,2.40932,2021,17,0.0,0.16066256993034617,,,2021 S17
202117,48.86057,2.38886,2021,17,206.93617021276594,240.09052020377783,,,2021 S17
202117,48.842091,2.301,2021,17,31.319148936170212,50.63099878635729,,,2021 S17
202117,48.89172,2.38531,2021,17,86.59574468085107,98.58909067323707,,,2021 S17
202117,48.881626,2.281203,2021,17,0.0,30.875830682069974,,,2021 S17
202117,48.890457,2.368852,2021,17,15.106382978723405,35.78749752135539,,,2021 S17
202117,48.89141,2.38482,2021,17,45.340425531914896,50.13421999310066,,,2021 S17
202117,48.840801,2.333233,2021,17,27.21276595744681,38.69683487793224,,,2021 S17
202117,48.86288,2.31179,2021,17,52.42553191489362,71.82836073030222,,,2021 S17
202117,48.86284,2.310345,2021,17,11.936170212765957,24.99477742677577,,,2021 S17
202117,48.87756,2.35535,2021,17,238.68085106382978,300.9039538687907,,,2021 S17
202117,48.86288,2.31179,2021,17,86.36170212765957,71.82836073030222,,,2021 S17
202117,48.86282,2.31061,2021,17,13.106382978723405,25.42663422786113,,,2021 S17
202117,48.86373,2.31973,2021,17,57.04255319148936,72.03820736804236,,,2021 S17
202117,48.89172,2.38531,2021,17,96.12765957446808,98.58909067323707,,,2021 S17
202117,48.86378,2.32003,2021,17,44.8936170212766,72.03820736804236,,,2021 S17
202117,48.890457,2.368852,2021,17,18.0,35.78749752135539,,,2021 S17
202117,48.82682,2.38465,2021,17,60.744680851063826,50.13421999310066,,,2021 S17
202117,48.82024,2.35902,2021,17,29.74468085106383,52.33155225988952,,,2021 S17
202117,48.82026,2.3592,2021,17,31.872340425531913,52.33155225988952,,,2021 S17
202117,48.83068,2.35348,2021,17,51.40425531914894,53.86848665274484,,,2021 S17
202117,48.896825,2.345648,2021,17,0.9574468085106383,35.9295918459734,,,2021 S17
202117,48.830449,2.353199,2021,17,31.872340425531913,50.31434297873015,,,2021 S17
202117,48.83848,2.37587,2021,17,20.48936170212766,48.736635999771124,,,2021 S17
202117,48.83436,2.377,2021,17,34.191489361702125,50.31434297873015,,,2021 S17
202117,48.83521,2.33307,2021,17,45.12765957446808,50.87963213036128,,,2021 S17
202117,48.88529,2.32666,2021,17,4.361702127659575,50.87963213036128,,,2021 S17
202117,48.86377,2.35096,2021,17,147.19148936170214,210.59608386273106,,,2021 S17
202117,48.88529,2.32666,2021,17,0.723404255319149,50.87963213036128,,,2021 S17
202117,48.83436,2.377,2021,17,31.97872340425532,50.31434297873015,,,2021 S17
202117,48.83848,2.37587,2021,17,27.4468085106383,48.736635999771124,,,2021 S17
202117,48.82658,2.38409,2021,17,0.0851063829787234,48.59728560024533,,,2021 S17
202117,48.829523,2.38699,2021,17,30.29787234042553,48.736635999771124,,,2021 S17
202117,48.84223,2.36811,2021,17,16.80851063829787,50.31434297873015,,,2021 S17
202117,48.84216,2.30115,2021,17,35.08510638297872,50.31434297873015,,,2021 S17
202117,48.843435,2.383378,2021,17,53.93617021276596,48.736635999771124,,,2021 S17
202117,48.86179,2.32014,2021,17,56.638297872340424,104.20951054135983,,,2021 S17
202117,48.840801,2.333233,2021,17,23.4468085106383,38.69683487793224,,,2021 S17
202117,48.86462,2.31444,2021,17,84.34042553191489,72.03820736804236,,,2021 S17
202117,48.889046,2.374872,2021,17,41.38297872340426,53.86848665274484,,,2021 S17
202117,48.84223,2.36811,2021,17,16.72340425531915,50.31434297873015,,,2021 S17
202117,48.8484,2.27586,2021,17,24.46808510638298,50.75424832589274,,,2021 S17
202117,48.83977,2.30198,2021,17,45.53191489361702,60.165856484701436,,,2021 S17
202117,48.829523,2.38699,2021,17,34.361702127659576,48.736635999771124,,,2021 S17
202117,48.86077,2.37305,2021,17,180.68085106382978,276.6236828421726,,,2021 S17
202117,48.874716,2.292439,2021,17,29.4468085106383,49.00255153592935,,,2021 S17
202117,48.846099,2.375456,2021,17,37.702127659574465,48.736635999771124,,,2021 S17
202117,48.85209,2.28508,2021,17,67.65957446808511,50.31434297873015,,,2021 S17
202117,48.860528,2.388364,2021,17,105.46808510638297,133.74665183895036,,,2021 S17
202117,48.860852,2.372279,2021,17,73.85106382978724,113.40539246433173,,,2021 S17
202117,48.82636,2.30303,2021,17,40.744680851063826,48.736635999771124,,,2021 S17
202117,48.84638,2.31529,2021,17,19.127659574468087,53.86848665274484,,,2021 S17
202117,48.87451,2.29215,2021,17,40.12765957446808,53.86848665274484,,,2021 S17
202117,48.86155,2.37407,2021,17,152.12765957446808,292.1465032425051,,,2021 S17
202117,48.84638,2.31529,2021,17,47.659574468085104,53.86848665274484,,,2021 S17
202117,48.86149,2.37376,2021,17,141.7872340425532,290.0256043101857,,,2021 S17
202117,48.83992,2.26694,2021,17,35.91489361702128,49.95310481105976,,,2021 S17
202117,48.83977,2.30198,2021,17,58.212765957446805,60.165856484701436,,,2021 S17
202117,48.869831,2.307076,2021,17,50.170212765957444,72.10873890585616,,,2021 S17
