Variable,Importance
TERRAINS DE GRANDS JEUX,0.24030171767327824
Densité_pop,0.15380859088820192
lng,0.1415234408070928
Distance_centre_Paris,0.10926334497714346
lat,0.08014308812306874
Numjoursem_comptage,0.04347744799069783
Distance_métro,0.040454790521821535
MAGASIN DE REVÊTEMENTS MURS ET SOLS,0.03922322050071102
Ensoleillement,0.028056503046025208
Nummois_comptage,0.027948901468951383
